CustomerId,rfm_total,rfm_segment,Exited
15736420,7,At Risk,1
15671256,9,Others,1
15571958,8,Potential Loyalist,0
15725665,4,Inactive,1
15780212,11,Others,0
15715622,9,Others,1
15588670,10,Others,1
15677764,7,Potential Loyalist,0
15747174,3,Inactive,0
15799534,4,Inactive,0
15651103,5,At Risk,0
15762331,6,At Risk,0
15712409,4,Inactive,0
15721460,9,Others,1
15604782,7,At Risk,0
15573319,9,Others,0
15644297,6,At Risk,0
15811588,8,Others,1
15713347,9,Others,0
15693926,10,Others,0
15670943,4,Inactive,0
15807003,6,At Risk,0
15713370,8,Others,1
15790355,10,Others,0
15801559,3,Inactive,1
15776518,6,At Risk,0
15699029,7,Potential Loyalist,0
15800793,11,Others,0
15708608,5,At Risk,0
15690372,8,Potential Loyalist,0
15617065,11,Others,1
15777784,7,At Risk,0
15741719,9,Others,0
15635097,8,Others,0
15737792,11,Others,0
15769412,11,Others,1
15798310,8,Others,0
15715047,7,At Risk,1
15572361,8,Potential Loyalist,0
15664498,8,Others,0
15661412,8,Others,0
15768367,5,At Risk,1
15734246,5,At Risk,0
15690589,7,At Risk,0
15809100,8,Potential Loyalist,1
15728006,9,Others,0
15721658,6,Others,1
15765520,8,Others,0
15690231,7,Potential Loyalist,0
15793688,7,At Risk,1
15595537,4,Inactive,0
15599084,5,At Risk,0
15757632,8,Potential Loyalist,0
15574842,5,Others,0
15585047,9,Others,0
15620341,4,Inactive,0
15801788,9,Others,0
15660646,8,Potential Loyalist,0
15738448,8,Potential Loyalist,0
15730579,6,At Risk,0
15743893,8,Potential Loyalist,0
15596800,9,Others,1
15804211,8,Others,0
15629793,5,Others,0
15814465,9,Others,0
15698510,4,Inactive,0
15610686,9,Others,1
15697270,7,At Risk,0
15776096,9,Others,0
15751185,9,Others,0
15620103,5,At Risk,0
15723907,10,Others,0
15737748,11,Others,0
15716781,7,At Risk,0
15583049,7,At Risk,0
15624729,11,Others,0
15641773,7,Potential Loyalist,0
15603319,11,Others,0
15795738,7,At Risk,0
15777459,4,Inactive,1
15694444,5,Others,1
15804962,9,Others,1
15727556,6,At Risk,0
15763460,6,At Risk,0
15595071,5,At Risk,0
15654106,5,At Risk,0
15601719,9,Others,0
15782758,6,At Risk,0
15775756,9,Others,0
15584114,6,Others,0
15812766,10,Others,0
15647546,5,At Risk,0
15775318,5,Others,1
15600734,4,Inactive,0
15743817,5,Others,1
15662532,3,Inactive,0
15639415,8,Potential Loyalist,0
15604818,7,At Risk,0
15586870,7,At Risk,0
15697997,8,At Risk,1
15672798,5,At Risk,0
15712199,7,Potential Loyalist,0
15747980,7,Potential Loyalist,0
15678206,9,Others,0
15656592,3,Inactive,0
15685372,9,Others,1
15729515,7,Potential Loyalist,0
15780989,8,Others,1
15648075,10,Others,1
15628824,8,At Risk,0
15681843,8,Potential Loyalist,0
15654222,9,Others,0
15609824,5,Others,1
15650933,8,Others,0
15751137,8,Potential Loyalist,0
15599131,7,Potential Loyalist,0
15594391,11,Others,1
15771059,11,Others,0
15578671,9,Others,1
15574372,7,Potential Loyalist,0
15797760,8,Potential Loyalist,0
15815490,8,Potential Loyalist,1
15752507,6,At Risk,1
15653253,5,At Risk,0
15744843,10,Others,0
15663808,3,Inactive,0
15760774,7,Potential Loyalist,0
15687363,5,Others,0
15765806,9,Others,0
15650266,6,Others,0
15705174,5,At Risk,0
15645200,8,Potential Loyalist,1
15668323,9,Others,1
15632503,9,Others,1
15614687,4,Inactive,0
15799720,5,At Risk,0
15757385,8,Others,0
15713604,5,At Risk,0
15605130,6,At Risk,0
15811389,10,Others,0
15794479,5,At Risk,0
15571973,8,Potential Loyalist,0
15654673,9,Others,1
15680683,7,Potential Loyalist,0
15629273,8,Others,1
15663441,10,Others,1
15808905,6,At Risk,0
15674922,6,At Risk,1
15778936,6,At Risk,0
15786852,6,Others,0
15658339,6,Others,0
15738662,6,At Risk,0
15695585,8,At Risk,0
15646276,9,Others,0
15695492,9,Others,0
15792102,11,Others,0
15616213,7,At Risk,1
15694530,7,At Risk,0
15621075,8,Potential Loyalist,0
15792729,7,At Risk,0
15782456,7,At Risk,0
15690130,9,Others,0
15716082,10,Others,0
15642824,5,At Risk,1
15704014,6,Others,0
15603247,9,Others,0
15801296,6,Others,0
15662063,5,At Risk,0
15656121,9,Others,0
15603246,6,Others,0
15796505,7,Potential Loyalist,0
15626507,9,Others,0
15589793,8,Others,1
15774936,5,At Risk,1
15680405,7,Potential Loyalist,0
15757310,6,At Risk,0
15628600,6,Potential Loyalist,0
15671800,3,Inactive,0
15721047,9,Others,0
15625461,7,Potential Loyalist,0
15721469,6,At Risk,0
15699492,11,Others,0
15621227,5,At Risk,0
15735849,9,Others,0
15736717,5,At Risk,0
15772337,10,Others,1
15689514,8,Others,1
15679651,9,Others,0
15685844,7,At Risk,0
15705663,4,Inactive,0
15667751,9,Others,0
15766575,8,Others,1
15602845,8,Potential Loyalist,0
15765952,11,Others,0
15598744,5,At Risk,1
15588456,6,At Risk,0
15607990,6,At Risk,0
15570051,9,Others,0
15678173,7,At Risk,0
15649160,8,Others,0
15679249,11,Others,1
15594576,11,Others,0
15765487,5,At Risk,0
15746664,8,Others,0
15617320,8,Potential Loyalist,0
15800229,7,At Risk,0
15713621,3,Inactive,0
15694404,8,Others,0
15788930,8,Others,0
15757541,7,At Risk,1
15635277,8,Others,0
15757408,5,Others,1
15681196,9,Others,0
15663489,9,Others,0
15735522,9,Others,0
15567431,9,Others,0
15651713,9,Others,0
15811415,4,Inactive,0
15698167,9,Others,0
15752047,8,Potential Loyalist,0
15576065,6,At Risk,1
15569394,8,Potential Loyalist,0
15805303,9,Others,1
15613844,6,Others,0
15597709,7,Potential Loyalist,1
15698474,7,Potential Loyalist,0
15770516,3,Inactive,0
15786014,7,Potential Loyalist,0
15776936,7,At Risk,1
15712903,8,Others,0
15808846,5,Others,0
15664270,6,Potential Loyalist,1
15702789,6,At Risk,0
15801395,8,At Risk,0
15583863,9,Others,1
15647782,5,Others,0
15643361,3,Inactive,0
15614716,9,Others,0
15691808,8,Others,0
15778884,6,Others,0
15599074,7,At Risk,0
15579781,6,At Risk,0
15649450,7,Potential Loyalist,0
15759066,10,Others,1
15726487,6,At Risk,0
15679551,9,Others,1
15672894,8,Others,0
15583212,10,Others,0
15703923,3,Inactive,0
15727177,9,Others,1
15799964,8,Others,0
15737169,5,At Risk,0
15770995,9,Others,0
15568963,9,Others,1
15793307,8,Potential Loyalist,1
15634491,6,Others,0
15569264,6,At Risk,0
15620268,8,Potential Loyalist,0
15653773,5,At Risk,0
15646936,6,Others,0
15796496,8,Others,0
15569430,8,Potential Loyalist,0
15743040,8,Others,0
15721779,9,Others,0
15815645,3,Inactive,0
15598948,8,At Risk,0
15580912,4,Inactive,0
15747927,8,Potential Loyalist,0
15627251,7,At Risk,0
15629575,9,Others,1
15624703,4,Inactive,0
15702566,5,At Risk,0
15815615,6,At Risk,0
15811594,8,Others,0
15698932,6,At Risk,0
15580629,9,Others,0
15665221,5,At Risk,0
15655123,4,Inactive,1
15626684,8,At Risk,0
15799494,8,Others,0
15763093,7,Potential Loyalist,0
15695475,9,Others,0
15720511,8,Potential Loyalist,1
15702541,8,Potential Loyalist,1
15566467,7,Potential Loyalist,0
15599329,3,Inactive,1
15690731,5,At Risk,0
15795519,11,Others,0
15798398,10,Others,0
15638487,10,Others,0
15623536,9,Others,0
15754747,5,At Risk,0
15694039,4,Inactive,0
15755196,11,Others,1
15610930,9,Others,0
15689786,11,Others,1
15740476,8,Others,0
15746802,9,Others,0
15656522,6,At Risk,0
15768201,8,Others,0
15777599,3,Inactive,0
15635703,9,Others,0
15649992,5,At Risk,0
15651983,5,At Risk,1
15579996,9,Others,0
15761018,8,Potential Loyalist,1
15663939,5,At Risk,0
15749381,9,Others,0
15733888,8,Potential Loyalist,1
15568819,3,Inactive,1
15646196,9,Others,0
15651389,7,At Risk,0
15760085,5,At Risk,0
15590344,5,Others,0
15691874,7,At Risk,0
15656417,8,Potential Loyalist,0
15677307,9,Others,0
15770405,10,Others,0
15771966,8,Others,0
15648989,11,Others,0
15689692,8,Others,0
15742613,5,Others,0
15615753,5,At Risk,0
15625964,10,Others,0
15669064,9,Others,0
15641640,8,Others,0
15803654,9,Others,0
15713845,8,Others,1
15714241,8,At Risk,1
15791279,6,At Risk,1
15585100,7,At Risk,1
15606115,6,At Risk,1
15711309,8,Potential Loyalist,0
15694821,8,At Risk,1
15742172,4,Inactive,0
15609510,7,At Risk,0
15754578,8,Potential Loyalist,0
15769246,8,Potential Loyalist,1
15610755,9,Others,0
15779913,4,Inactive,0
15814923,5,At Risk,0
15705777,5,At Risk,0
15765093,5,At Risk,0
15666043,4,Inactive,0
15724150,5,At Risk,0
15783338,10,Others,0
15672152,7,At Risk,1
15694408,9,Others,1
15757759,5,Others,1
15661473,11,Others,1
15776827,6,At Risk,0
15687607,7,At Risk,0
15713440,6,Potential Loyalist,1
15717498,6,At Risk,0
15591169,11,Others,1
15779182,9,Others,1
15644174,7,At Risk,1
15595162,9,Others,0
15660271,5,At Risk,0
15701042,9,Others,0
15732884,9,Others,0
15758136,9,Others,0
15810457,4,Inactive,0
15761497,11,Others,1
15680112,8,Others,0
15710671,11,Others,0
15657540,7,Potential Loyalist,0
15780770,5,At Risk,0
15793723,4,Inactive,0
15708139,9,Others,0
15705448,5,At Risk,1
15626147,9,Others,1
15626135,9,Others,0
15787255,5,Others,1
15633546,8,Potential Loyalist,0
15798844,9,Others,1
15694628,8,Potential Loyalist,0
15567991,9,Others,0
15730287,5,Others,1
15748696,7,At Risk,0
15579223,8,Others,0
15621546,5,At Risk,0
15585533,8,At Risk,0
15752463,8,At Risk,0
15685872,9,Others,0
15716347,5,At Risk,0
15629078,6,At Risk,1
15641582,3,Inactive,0
15612050,5,At Risk,0
15603134,7,At Risk,0
15646372,9,Others,1
15577700,3,Inactive,0
15624695,7,At Risk,0
15648136,7,At Risk,0
15610727,9,Others,0
15651075,9,Others,0
15692599,9,Others,0
15610643,8,Potential Loyalist,0
15601796,9,Others,0
15670345,10,Others,0
15628145,6,At Risk,0
15585985,10,Others,1
15794874,7,At Risk,0
15593973,8,Others,0
15727197,7,At Risk,1
15715512,9,Others,0
15790267,7,At Risk,0
15785815,7,Potential Loyalist,0
15795640,9,Others,0
15621195,8,Potential Loyalist,0
15607269,6,Others,0
15710404,5,At Risk,0
15763256,5,Others,1
15808784,6,Others,0
15797960,9,Others,0
15796813,8,Potential Loyalist,1
15737404,9,Others,0
15778915,5,At Risk,0
15760550,5,At Risk,0
15646490,10,Others,0
15698522,4,Inactive,0
15640106,10,Others,0
15617705,7,At Risk,0
15615012,10,Others,0
15762216,7,Potential Loyalist,0
15634936,5,At Risk,0
15764927,9,Others,0
15575243,7,Potential Loyalist,0
15769353,9,Others,1
15665159,7,Potential Loyalist,1
15627517,9,Others,0
15720284,11,Others,0
